Altium Designer Pick and Place Locations
C:\Users\faction\Documents\LowPowerCOSensor\LowPowerCOSensorHW\LowPowerCOSensor3V\Project Outputs for LowPowerCOSensor3V\Pick Place for LPCOSensor3vValve.txt

========================================================================================================================
File Design Information:

Date:       29/05/26
Time:       20:30
Revision:   0ef7cc6c23c3205626e0b0e9e137ff638af26ff7
Variant:    No variations
Units used: mil

Designator        Comment              Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                   
JST1              B3B-XH-A_LF__SN_     TopLayer    B3BXHALFSN                   925.000       1245.000      0        Connector                                                                                                     
GAS               "Header I2C"         TopLayer    HDR1X4                       980.000       1445.000      0        "Header, 4-Pin"                                                                                               
R_Q1              "10K 5% 0805(2012)"  BottomLayer RESC0805(2012)_L             1450.000      1060.000      180      "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
R_BLEGNDCTRL      RMCF0805JT180R       BottomLayer FP-RMCF0805-IPC_B            1385.000      1215.000      0        "180次 ㊣5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"                                            
Q1                AO3401A              BottomLayer AO-SOT-23-3L_V               680.000       625.000       270      "P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel"                          
R_PP1             "10K 5% 0805(2012)"  BottomLayer RESC0805(2012)_L             985.000       730.000       180      "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
R_BLEED1          "10K 5% 0805(2012)"  BottomLayer RESC0805(2012)_L             990.000       655.000       180      "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
C_FILTER1         VJ0805Y104MXAAT      BottomLayer CAPC2013X145X48NL20T23       1155.000      710.000       180      ""                                                                                                            
R_DIVIDE2         "10K 5% 0805(2012)"  TopLayer    RESC0805(2012)_L             670.000       1350.000      0        "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
R_DIVIDE1         "10K 5% 0805(2012)"  BottomLayer RESC0805(2012)_L             560.000       755.000       90       "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
K1                KF128-2.54-2P        TopLayer    KF1282542P                   1260.000      1270.000      90       Connector                                                                                                     
USB1              217178-0001          TopLayer    FP-217178-0001-MFG           1449.350      971.731       270      "CONN RCPT USB2.0 TYP C 24POS SMD"                                                                            
SPI               HTSW-106-07-G-S      TopLayer    FP-HTSW-106-07-G-S-MFG       660.000       1010.000      270      "CONN HEADER VERT 6POS 2.54MM"                                                                                
R_CC2             CRCW08055K10JNEAHP   BottomLayer FP-CRCW0805-HPe3-MFG         1140.000      1205.000      90       "RES Thick Film, 5.1k次, 5%, 0.5W, 200ppm/～C, 0805"                                                            
R_CC1             CRCW08055K10JNEAHP   BottomLayer FP-CRCW0805-HPe3-MFG         1290.000      720.000       0        "RES Thick Film, 5.1k次, 5%, 0.5W, 200ppm/～C, 0805"                                                            
P1                LD1117S33            TopLayer    FP-SOT-223-0046067_14-MFG    900.000       1005.000      0        "IC REG LINEAR 3.3V 800MA SOT223"                                                                             
Q2                AO3400A              TopLayer    FP-SOT23-MFG                 1075.000      680.000       90       "MOSFET N-CH 30V 5.7A SOT23"                                                                                  
BLE               "Header BLE"         TopLayer    HDR1X4                       545.000       1030.000      270      "Header, 4-Pin"                                                                                               
R_D3              RMCF0805JT180R       BottomLayer FP-RMCF0805-IPC_B            985.000       820.000       0        "180次 ㊣5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"                                            
IC3               MAX31855JASA+        BottomLayer SOIC127P600X175-8N           1240.000      955.000       270      "Integrated Circuit"                                                                                          
R_FIRECTL2        "10K 5% 0805(2012)"  TopLayer    RESC0805(2012)_L             1285.000      650.000       180      "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
FIRE_EXTINGUISHER KF128-2.54-2P        TopLayer    KF1282542P                   850.000       735.000       90       Connector                                                                                                     
C_PWR2            GRM21BR61A476ME15K   BottomLayer FP-GRM21B-0_2-e0_2_0_7-IPC_C 1450.000      910.000       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 47uF, X5R, 15%, 20%, 10V"                      
MCU1              STM32L031F6P6        BottomLayer SOP65P640X120-20N            910.000       1025.000      0        "Integrated Circuit"                                                                                          
FB_VDDA           0ohm                 BottomLayer WE-CBF_0805_L2W1.2H0.9_HC    1095.001      1340.000      180      ""                                                                                                            
R_FIRECTL1        RMCF0805JT180R       TopLayer    FP-RMCF0805-IPC_B            1020.000      830.000       270      "180次 ㊣5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"                                            
SWD               MTLW-105-05-T-S-190  TopLayer    SMTC-MTLW-105-05-X-S-190     970.000       540.000       180      "Low Profile .025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 5-Pin, Male, RoHS" 
R_BOOT1           "10K 5% 0805(2012)"  BottomLayer RESC0805(2012)_L             755.000       785.000       270      "10K 0.125W 5% 0805 (2012 Metric)  SMD"                                                                       
C_RST1            VJ0805Y104MXAAT      BottomLayer CAPC2013X145X48NL20T23       1160.000      635.000       180      ""                                                                                                            
LED_ON            "WHITE LED 3.0v20ma" TopLayer    FP-SML-LX0805UWC-TR-MFG      1275.000      715.000       180      "SML-LX0805UWC-TR White LED, 0805 Diffused, Rectangle Lens SMD package"                                       
C_PWR4            08053C103JAT2A       BottomLayer CAPC2013X94X50LL20T25        1450.000      990.000       0        ""                                                                                                            
C_PWR1            16SVPG220M           TopLayer    FP-OS-CON-SMT-C6-MFG         1210.000      955.000       270      "Conductive Polymer Aluminum Solid Capacitors (OS-CON) 220uF ㊣20% 16V"                                        
