Removed Pin From Net: NetName=NetFB1_2 Pin=P1-1
Removed Pin From Net: NetName=NetP1_5 Pin=P1-5
Removed Pin From Net: NetName=VBAT Pin=P3-3
Removed Pin From Net: NetName=GND Pin=Q_RLY-1
Removed Pin From Net: NetName=GND Pin=R_FIRECTL2-2
Removed Member From Class: ClassName=LPCOSensor3vValve Member=R_FIRECTL2
Change Component Footprint: Designator=Q_RLY Old Footprint=FAIR-TO-92 New Footprint=SOT96P240X110-3N
Change Component Footprint: Designator=P1 Old Footprint=FP-U5-1-MFG New Footprint=FP-DBV0006A-MFG
Change Component Comment : Designator=Q_RLY Old Comment=2N3904BU New Comment=DMN2041L-7
Change Component Comment : Designator=R_FIRECTL1 Old Comment=4k7 New Comment=180
Change Component Comment : Designator=P1 Old Comment=MAX40200AUK+T New Comment=LM74700QDBVRQ1
Change Component Designator: OldDesignator=24V NewDesignator=3V
Change Component Designator: OldDesignator=TP_24V NewDesignator=TP_3V
Change Managed Component Library Link : Designator=P1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=33B7B3F2-2C4E-4FAE-AE61-626B7D39DC73 New ItemGUID=2B1EF449-7775-48E5-8013-296FEAFC0458 Old RevisionGUID=9CA7F2AD-9B02-4345-B4E5-8066694A0FCE New RevisionGUID=DD9643A9-5867-4360-9B84-16D70393CBD9
Change Managed Component Library Link : Designator=Q_RLY Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D82A9182-C512-49AD-90DF-5A1BBDA60F70 New ItemGUID= Old RevisionGUID=6EAAE616-8D62-4941-9E44-EB706EA21933 New RevisionGUID=
Change component parameters: Designator = "P1" ("P1"); Footprint = "FP-U5-1-MFG"; UniqueID = "\QCFWVLMK" ("\QCFWVLMK")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Grade"; Value = "Grade 1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/lm74700-q1.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Power Management ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "POWER MANAGEMENT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.45mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "LM74700QDBVRQ1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+150°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "65V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "3.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Low Iq, ideal diode controller 6-SOT-23 -40 to 125"; VariantName = "[No Variations]"
